,PLATFORM,TYPE,RELEASE_YEAR,COUNT
0,amazon_prime,Movie,1920,3
1,amazon_prime,Movie,1922,2
2,amazon_prime,Movie,1923,1
3,amazon_prime,Movie,1924,1
4,amazon_prime,Movie,1925,8
5,amazon_prime,Movie,1926,2
6,amazon_prime,Movie,1927,1
7,amazon_prime,Movie,1929,4
8,amazon_prime,Movie,1930,5
9,amazon_prime,Movie,1931,3
10,amazon_prime,Movie,1932,7
11,amazon_prime,Movie,1933,5
12,amazon_prime,Movie,1934,12
13,amazon_prime,Movie,1935,15
14,amazon_prime,Movie,1936,28
15,amazon_prime,Movie,1937,24
16,amazon_prime,Movie,1938,15
17,amazon_prime,Movie,1939,21
18,amazon_prime,Movie,1940,16
19,amazon_prime,Movie,1941,22
20,amazon_prime,Movie,1942,16
21,amazon_prime,Movie,1943,21
22,amazon_prime,Movie,1944,12
23,amazon_prime,Movie,1945,13
24,amazon_prime,Movie,1946,20
25,amazon_prime,Movie,1947,22
26,amazon_prime,Movie,1948,15
27,amazon_prime,Movie,1949,14
28,amazon_prime,Movie,1950,21
29,amazon_prime,Movie,1951,18
30,amazon_prime,Movie,1952,16
31,amazon_prime,Movie,1953,21
32,amazon_prime,Movie,1954,12
33,amazon_prime,Movie,1955,8
34,amazon_prime,Movie,1956,17
35,amazon_prime,Movie,1957,5
36,amazon_prime,Movie,1958,15
37,amazon_prime,Movie,1959,16
38,amazon_prime,Movie,1960,11
39,amazon_prime,Movie,1961,10
40,amazon_prime,Movie,1962,11
41,amazon_prime,Movie,1963,18
42,amazon_prime,Movie,1964,13
43,amazon_prime,Movie,1965,9
44,amazon_prime,Movie,1966,10
45,amazon_prime,Movie,1967,15
46,amazon_prime,Movie,1968,18
47,amazon_prime,Movie,1969,14
48,amazon_prime,Movie,1970,25
49,amazon_prime,Movie,1971,16
50,amazon_prime,Movie,1972,19
51,amazon_prime,Movie,1973,17
52,amazon_prime,Movie,1974,21
53,amazon_prime,Movie,1975,26
54,amazon_prime,Movie,1976,12
55,amazon_prime,Movie,1977,14
56,amazon_prime,Movie,1978,18
57,amazon_prime,Movie,1979,15
58,amazon_prime,Movie,1980,25
59,amazon_prime,Movie,1981,19
60,amazon_prime,Movie,1982,17
61,amazon_prime,Movie,1983,16
62,amazon_prime,Movie,1984,25
63,amazon_prime,Movie,1985,26
64,amazon_prime,Movie,1986,36
65,amazon_prime,Movie,1987,32
66,amazon_prime,Movie,1988,42
67,amazon_prime,Movie,1989,39
68,amazon_prime,Movie,1990,36
69,amazon_prime,Movie,1991,42
70,amazon_prime,Movie,1992,52
71,amazon_prime,Movie,1993,54
72,amazon_prime,Movie,1994,60
73,amazon_prime,Movie,1995,62
74,amazon_prime,Movie,1996,60
75,amazon_prime,Movie,1997,53
76,amazon_prime,Movie,1998,52
77,amazon_prime,Movie,1999,55
78,amazon_prime,Movie,2000,72
79,amazon_prime,Movie,2001,73
80,amazon_prime,Movie,2002,83
81,amazon_prime,Movie,2003,68
82,amazon_prime,Movie,2004,89
83,amazon_prime,Movie,2005,91
84,amazon_prime,Movie,2006,120
85,amazon_prime,Movie,2007,157
86,amazon_prime,Movie,2008,138
87,amazon_prime,Movie,2009,117
88,amazon_prime,Movie,2010,152
89,amazon_prime,Movie,2011,212
90,amazon_prime,Movie,2012,197
91,amazon_prime,Movie,2013,227
92,amazon_prime,Movie,2014,295
93,amazon_prime,Movie,2015,282
94,amazon_prime,Movie,2016,402
95,amazon_prime,Movie,2017,404
96,amazon_prime,Movie,2018,438
97,amazon_prime,Movie,2019,730
98,amazon_prime,Movie,2020,736
99,amazon_prime,Movie,2021,1139
100,amazon_prime,TV Show,1932,1
101,amazon_prime,TV Show,1936,1
102,amazon_prime,TV Show,1945,1
103,amazon_prime,TV Show,1946,1
104,amazon_prime,TV Show,1954,3
105,amazon_prime,TV Show,1955,1
106,amazon_prime,TV Show,1959,2
107,amazon_prime,TV Show,1960,1
108,amazon_prime,TV Show,1961,1
109,amazon_prime,TV Show,1962,1
110,amazon_prime,TV Show,1963,2
