,PLATFORM,LISTED_IN,COUNT
0,amazon_prime,Drama,3687
1,amazon_prime,Comedy,2099
2,amazon_prime,Action,1657
3,amazon_prime,Suspense,1501
4,amazon_prime,Kids,1085
5,amazon_prime,Documentary,993
6,amazon_prime,Special Interest,980
7,amazon_prime,Horror,875
8,amazon_prime,Romance,674
9,amazon_prime,Animation,547
10,disney,Family,632
11,disney,Animation,542
12,disney,Comedy,526
13,disney,Action-Adventure,452
14,disney,Animals & Nature,208
15,disney,Coming of Age,205
16,disney,Fantasy,192
17,disney,Documentary,174
18,disney,Kids,141
19,disney,Drama,134
20,hulu,Drama,907
21,hulu,Comedy,667
22,hulu,Adventure,556
23,hulu,Action,555
24,hulu,Documentaries,524
25,hulu,Anime,329
26,hulu,Horror,304
27,hulu,Reality,247
28,hulu,Thriller,231
29,hulu,Crime,217
30,netflix,International Movies,2752
31,netflix,Dramas,2427
32,netflix,Comedies,1674
33,netflix,International TV Shows,1351
34,netflix,Documentaries,869
35,netflix,Action & Adventure,859
36,netflix,TV Dramas,763
37,netflix,Independent Movies,756
38,netflix,Children & Family Movies,641
39,netflix,Romantic Movies,616
